label	group	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs
0.03	DA0581	0.099574	0.097696	0.101451	10.042831	9.856973	10.235834	3.028914	3.011914	3.045914	3.032642	132	138.5	133.813611	155.296062	30968
0.03	DA0592	0.194433	0.188032	0.200834	5.143154	4.979234	5.318233	2.814759	2.785432	2.844085	2.816798	74	76	74.286466	87.963265	15128
0.03	DA0593	0.202057	0.198148	0.205966	4.949099	4.855167	5.046738	2.270113	2.253353	2.286872	2.273071	84	85.75	84.290046	94.558671	29732
0.03	DA0595	0.152405	0.148527	0.156283	6.561477	6.398667	6.732788	2.601222	2.580332	2.622112	2.607517	108	115.5	110.18511	133.742407	19974
0.03	DA0600	0.251804	0.244955	0.258654	3.971336	3.866167	4.082387	1.996205	1.969761	2.022649	2.002107	62	64.333333	62.436286	74.479066	12055
0.03	DA0600_O	0.150518	0.145671	0.155366	6.643709	6.436409	6.864806	2.599145	2.571235	2.627054	2.604856	65	74.166667	67.29218	101.658448	10582
0.03	DA0600_OS	0.271397	0.267099	0.275696	3.684634	3.627189	3.743928	1.692916	1.672805	1.713026	1.703285	91	94.5	91.888745	104.783486	16360
0.03	DA0600_P	0.1538	0.150072	0.157527	6.501965	6.348111	6.663461	2.589933	2.565732	2.614134	2.594914	92	95.6	92.76382	108.967346	15829
0.03	DA0600_X	0.098626	0.096973	0.100279	10.139332	9.972202	10.312159	2.696026	2.677301	2.714751	2.699626	76	77.666667	76.254726	86.904971	15851
0.03	DA0603	0.08335	0.077539	0.089161	11.997615	11.215675	12.896758	3.089707	3.030865	3.148548	3.117664	76	81.5	77.348412	98.433801	2107
0.03	DA0611	0.190853	0.186127	0.195578	5.239642	5.11304	5.372673	2.031552	2.002253	2.060851	2.037823	43	43.857143	43.092143	50.973392	6602
0.03	DA0611_R	0.251621	0.243104	0.260137	3.974236	3.844129	4.113459	1.83538	1.803223	1.867537	1.841247	32	34	32.286466	45.963265	5803
0.03	DA0615	0.10925	0.106216	0.112285	9.153277	8.905882	9.41481	2.885141	2.86427	2.906011	2.888835	95	98.5	95.697263	112.568701	17729
0.03	DA0617	0.263249	0.254811	0.271688	3.798683	3.680698	3.924484	2.189283	2.158747	2.219819	2.193705	57	59.142857	57.343036	70.385874	11202
0.03	DA0618	0.366109	0.358279	0.373939	2.731427	2.674232	2.791122	1.412799	1.386149	1.439449	1.416402	41	42.5	41.180377	53.473897	9683
0.03	DA0619	0.110729	0.106324	0.115134	9.031045	8.685539	9.405177	3.147357	3.11658	3.178134	3.152304	118	120.625	118.469808	132.666883	11156
0.03	DA0621	0.234483	0.23071	0.238255	4.26471	4.197176	4.334453	1.748638	1.73236	1.764916	1.750375	28	31	28.39133	50.998494	15546
0.03	DA0635	0.826463	0.816691	0.836236	1.209975	1.195835	1.224454	0.43015	0.408526	0.451774	0.434862	23	25.5	23.368021	39.982713	10151
0.03	DA0635_R	0.8665	0.854578	0.878422	1.154068	1.138405	1.170168	0.395149	0.36301	0.427288	0.410938	36	49.2	39.443297	86.60266	5790
0.03	DA0638	0.193309	0.186713	0.199905	5.173057	5.002368	5.355806	2.350658	2.314672	2.386644	2.35804	67	72.6	68.15542	94.141645	7308
0.03	DA0638_R	0.204883	0.198012	0.211754	4.880841	4.722466	5.050208	2.301319	2.264923	2.337715	2.311644	66	71	67.215104	86.574366	7273
0.03	DA0638_s	0.183114	0.178876	0.187353	5.46107	5.337524	5.590471	2.407266	2.383743	2.430789	2.411378	84	85.909091	84.322594	95.297891	17019
0.03	DA0666	0.833842	0.825012	0.842671	1.199268	1.186703	1.212103	0.40901	0.389665	0.428355	0.413499	25	27.5	25.409254	40.271686	12079
0.03	DA0673	0.141383	0.137933	0.144834	7.072965	6.904479	7.249879	2.534388	2.506296	2.56248	2.545491	91	98.058824	93.104796	114.673073	10575
0.03	DA0676	0.26399	0.258991	0.268988	3.788029	3.717637	3.861138	1.618769	1.599841	1.637698	1.622431	34	34.857143	34.092143	41.973392	11932
0.03	DA0689	0.772464	0.761923	0.783006	1.294558	1.27713	1.312469	0.6153	0.589611	0.640989	0.619877	30	30.666667	30.066885	36.644916	10725
0.03	DA0695	0.163725	0.160552	0.166897	6.107814	5.991704	6.228513	2.168209	2.150428	2.18599	2.170157	44	49	44.777869	76.13908	15304
0.03	DA0705	0.182283	0.169351	0.195215	5.485985	5.122564	5.90491	2.226587	2.15545	2.297725	2.254225	41	44	41.546723	57.461714	1438
0.03	DA0718_R	0.931749	0.92175	0.941747	1.073251	1.061856	1.084893	0.201271	0.175702	0.226839	0.204797	11	11	11	0	4668
0.03	DA0719	0.13466	0.132439	0.136881	7.426112	7.30564	7.550625	2.238487	2.22177	2.255204	2.242071	44	47	44.501496	61.946298	12310
0.03	DA0721	0.26043	0.255676	0.265184	3.839807	3.770971	3.911203	1.632485	1.613767	1.651204	1.63699	37	40.5	37.648617	55.886352	12138
0.03	DA0721_R	0.092115	0.088257	0.095974	10.855962	10.419505	11.330584	3.081295	3.04554	3.117051	3.093662	101	108.8	103.126784	129.606575	6586
0.03	DA0725	0.215217	0.210462	0.219972	4.646475	4.546042	4.751447	2.159251	2.135807	2.182695	2.163136	74	74.5	74.045698	79.470724	16299
0.03	DA0731	0.282937	0.274619	0.291256	3.53435	3.433407	3.641408	2.086915	2.055956	2.117873	2.090636	64	66.5	64.409254	79.271686	11686
0.03	DA0734_R	0.060311	0.05678	0.063842	16.580803	15.663689	17.61199	4.378855	4.32711	4.4306	4.419415	417	426.72549	420.846037	441.592889	6630
0.03	DA0735	0.54683	0.532998	0.560663	1.828721	1.783604	1.876181	1.083271	1.04932	1.117223	1.08894	34	34.428571	34.032985	39.568409	6798
0.03	DA0738	0.207609	0.202453	0.212765	4.816745	4.700018	4.939419	1.93733	1.912859	1.961801	1.94212	36	36.3	36.020522	40.385538	8192
0.03	DA0741	0.137337	0.133547	0.141127	7.281366	7.085823	7.488008	3.185746	3.150357	3.221136	3.189809	216	220.666667	216.954004	238.82777	14474
0.03	DA0752	0.15329	0.147949	0.158631	6.52359	6.303933	6.759107	2.679754	2.630072	2.729437	2.724669	214	219.660377	215.904389	230.824223	6024
0.03	DA0753	0.732007	0.723565	0.740449	1.366107	1.350531	1.382047	0.626778	0.607	0.646557	0.628796	37	37.75	37.066559	45.451092	16293
0.03	DA0754	0.359208	0.354576	0.36384	2.7839	2.748459	2.820267	1.368092	1.345756	1.390429	1.372646	61	62.111111	61.141918	69.699193	13885
0.03	DA0776	0.12822	0.124954	0.131487	7.799075	7.605316	8.002965	2.457114	2.438908	2.47532	2.459836	41	43	41.286466	54.963265	13232
0.03	DA0778	0.167631	0.164033	0.17123	5.965471	5.840114	6.096328	2.718096	2.696305	2.739887	2.7226	135	138.235294	135.73822	149.178866	25940
0.03	DA0779	0.540293	0.530579	0.550008	1.850847	1.818157	1.884735	1.112869	1.089155	1.136583	1.116032	34	39	34.864775	62.909245	14085
