OTU	Size	Taxonomy	taxname	phylum
Otu00064	9058	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);	Otu00064_Lachnospiraceae	Firmicutes
Otu00065	13211	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);	Otu00065_Acidaminococcus	Firmicutes
Otu00066	17975	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);unclassified(99);	Otu00066_Veillonellaceae	Firmicutes
Otu00067	32112	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);	Otu00067_Staphylococcus	Firmicutes
Otu00068	8022	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);	Otu00068_Clostridium_XlVb	Firmicutes
Otu00069	16451	Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Bilophila(100);	Otu00069_Bilophila	Proteobacteria
Otu00070	20065	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(88);unclassified(88);unclassified(88);	Otu00070_Burkholderiales	Proteobacteria
Otu00071	7758	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(98);	Otu00071_Clostridium_XlVa	Firmicutes
Otu00072	19270	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);	Otu00072_Parabacteroides	Bacteroidetes
Otu00073	7997	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu00073_Blautia	Firmicutes
Otu00074	8595	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);	Otu00074_Clostridium_sensu_stricto	Firmicutes
Otu00075	18851	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);	Otu00075_Alistipes	Bacteroidetes
Otu00076	1131	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);unclassified(85);unclassified(85);	Otu00076_Burkholderiales	Proteobacteria
Otu00077	16393	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);	Otu00077_Prevotella	Bacteroidetes
Otu00078	11710	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Barnesiella(100);	Otu00078_Barnesiella	Bacteroidetes
Otu00079	2119	Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Chitinophagaceae(100);unclassified(98);	Otu00079_Chitinophagaceae	Bacteroidetes
Otu00080	10558	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu00080_Bacteroides	Bacteroidetes
Otu00081	7257	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);	Otu00081_Clostridium_sensu_stricto	Firmicutes
Otu00082	12468	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu00082_Lactobacillus	Firmicutes
Otu00083	5784	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Eggerthella(100);	Otu00083_Eggerthella	Actinobacteria
Otu00084	18109	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);unclassified(100);	Otu00084_Enterobacteriaceae	Proteobacteria
Otu00085	8142	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Clostridium_XI(99);	Otu00085_Clostridium_XI	Firmicutes
Otu00086	339	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu00086_Bacteroides	Bacteroidetes
